,Date,Type,Total,Total for Shares,Price per share
1992,"Sep 15, 2020","PowerFleet Market SellSep 15, 2020",$33.776 shares at $5.63,$33.776,$5.63
1993,"Sep 15, 2020","Stmicroelectronics Market SellSep 15, 2020",$47.001.5 shares at $31.33,$47.001.5,$31.33
1994,"Sep 15, 2020","US Concrete Market SellSep 15, 2020",$29.231 share at $29.23,$29.23,$29.23
1995,"Sep 15, 2020","Quest Diagnostics Market SellSep 15, 2020",$11.420.1 shares at $114.20,$11.420.1,$114.20
1996,"Sep 15, 2020","Taiwan Semiconductor Manufacturing Market SellSep 15, 2020",$8.460.1 shares at $84.60,$8.460.1,$84.60
1997,"Sep 15, 2020","Verizon Market SellSep 15, 2020",$30.500.5 shares at $61.00,$30.500.5,$61.00
1998,"Sep 15, 2020","American Tower Market SellSep 15, 2020",$52.540.2 shares at $262.70,$52.540.2,$262.70
1999,"Sep 15, 2020","NextEra Energy Market SellSep 15, 2020",$74.230.25 shares at $296.92,$74.230.25,$296.92
2000,"Sep 15, 2020","Amgen Market SellSep 15, 2020",$100.230.4 shares at $250.58,$100.230.4,$250.58
2001,"Sep 14, 2020","Dupont De Nemours Market SellSep 14, 2020",$59.421 share at $59.42,$59.42,$59.42
2002,"Sep 14, 2020","Western Digital Market SellSep 14, 2020",$19.380.5 shares at $38.76,$19.380.5,$38.76
2003,"Sep 14, 2020","A.O. Smith Market SellSep 14, 2020",$5.000.1 shares at $50.00,$5.000.1,$50.00
2004,"Sep 14, 2020","Panasonic Market SellSep 14, 2020",$47.155 shares at $9.43,$47.155,$9.43
2005,"Sep 14, 2020","US Concrete Market SellSep 14, 2020",$28.721 share at $28.72,$28.72,$28.72
2006,"Sep 14, 2020","Tata Motors Market SellSep 14, 2020",$3.010.3 shares at $10.03,$3.010.3,$10.03
2007,"Sep 14, 2020","Martin Marietta Market SellSep 14, 2020",$177.760.82 shares at $216.78,$177.760.82,$216.78
2008,"Sep 14, 2020","TJX Market SellSep 14, 2020",$11.110.2 shares at $55.55,$11.110.2,$55.55
2009,"Sep 11, 2020","Coca-Cola Market SellSep 11, 2020",$51.061 share at $51.06,$51.06,$51.06
2010,"Sep 11, 2020","Nucor Market SellSep 11, 2020",$22.970.5 shares at $45.94,$22.970.5,$45.94
2011,"Sep 11, 2020","Avery Dennison Market SellSep 11, 2020",$35.990.3 shares at $119.97,$35.990.3,$119.97
2012,"Sep 11, 2020","Alphabet Class C Market BuySep 11, 2020","$90.520.06 shares at $1,508.67",$90.520.06,"$1,508.67"
2013,"Sep 11, 2020","AES Market SellSep 11, 2020",$35.462 shares at $17.73,$35.462,$17.73
2014,"Sep 11, 2020","Dover Market SellSep 11, 2020",$11.270.1 shares at $112.70,$11.270.1,$112.70
2015,"Sep 11, 2020","Alphabet Class A Market BuySep 11, 2020","$150.570.1 shares at $1,505.70",$150.570.1,"$1,505.70"
2016,"Sep 11, 2020","US Concrete Market SellSep 11, 2020",$56.522 shares at $28.26,$56.522,$28.26
2017,"Sep 11, 2020","Apple Market BuySep 11, 2020",$28.120.25 shares at $112.48,$28.120.25,$112.48
2018,"Sep 11, 2020","Uber Market SellSep 11, 2020",$3.680.1 shares at $36.80,$3.680.1,$36.80
2019,"Sep 11, 2020","Tronox Market SellSep 11, 2020",$9.411 share at $9.41,$9.41,$9.41
2020,"Sep 11, 2020","CF Industries Market SellSep 11, 2020",$16.550.5 shares at $33.10,$16.550.5,$33.10
2021,"Sep 11, 2020","Waste Management Market SellSep 11, 2020",$11.230.1 shares at $112.30,$11.230.1,$112.30
2022,"Sep 11, 2020","IdaCorp Market BuySep 11, 2020",$25.040.3 shares at $83.47,$25.040.3,$83.47
2023,"Sep 11, 2020","Atmos Energy Market BuySep 11, 2020",$28.030.3 shares at $93.43,$28.030.3,$93.43
2024,"Sep 11, 2020","Sempra Market BuySep 11, 2020",$58.540.5 shares at $117.08,$58.540.5,$117.08
2025,"Sep 11, 2020","Eversource Market BuySep 11, 2020",$24.710.3 shares at $82.37,$24.710.3,$82.37
2026,"Sep 11, 2020","Alphabet Class C Market BuySep 11, 2020","$152.790.1 shares at $1,527.90",$152.790.1,"$1,527.90"
2027,"Sep 11, 2020","Utilities Select Sector SPDR Fund Market BuySep 11, 2020",$58.571 share at $58.57,$58.57,$58.57
2028,"Sep 11, 2020","Summit Materials Market SellSep 11, 2020",$16.261 share at $16.26,$16.26,$16.26
2029,"Sep 11, 2020","Health Catalyst Market SellSep 11, 2020",$17.210.5 shares at $34.42,$17.210.5,$34.42
2030,"Sep 11, 2020","Oracle Market SellSep 11, 2020",$24.250.4 shares at $60.63,$24.250.4,$60.63
2031,"Sep 10, 2020","JD.com Market BuySep 10, 2020",$37.100.5 shares at $74.20,$37.100.5,$74.20
2032,"Sep 10, 2020","Alphabet Class A Market BuySep 10, 2020","$152.180.1 shares at $1,521.80",$152.180.1,"$1,521.80"
2033,"Sep 10, 2020","Purple Innovation Market SellSep 10, 2020",$35.431.6 shares at $22.14,$35.431.6,$22.14
2034,"Sep 10, 2020","Analog Devices Market BuySep 10, 2020",$22.840.2 shares at $114.20,$22.840.2,$114.20
2035,"Sep 10, 2020","Health Care Select Sector SPDR Fund Market BuySep 10, 2020",$104.731 share at $104.73,$104.73,$104.73
2036,"Sep 10, 2020","SP Funds S&P 500 Sharia Market BuySep 10, 2020",$45.962 shares at $22.98,$45.962,$22.98
2037,"Sep 10, 2020","Listed Funds Trust Wahed FTSE USA Shariah Market BuySep 10, 2020",$88.983 shares at $29.66,$88.983,$29.66
2038,"Sep 10, 2020","Redfin Market SellSep 10, 2020",$26.590.5 shares at $53.18,$26.590.5,$53.18
2039,"Sep 10, 2020","Levi Strauss Market SellSep 10, 2020",$13.261 share at $13.26,$13.26,$13.26
2040,"Sep 10, 2020","UnitedHealth Market BuySep 10, 2020",$30.750.1 shares at $307.50,$30.750.1,$307.50
2041,"Sep 10, 2020","Johnson & Johnson Market BuySep 10, 2020",$44.240.3 shares at $147.47,$44.240.3,$147.47
2042,"Sep 10, 2020","Eversource Market BuySep 10, 2020",$16.950.2 shares at $84.75,$16.950.2,$84.75
2043,"Sep 10, 2020","Atmos Energy Market BuySep 10, 2020",$19.130.2 shares at $95.65,$19.130.2,$95.65
2044,"Sep 10, 2020","IdaCorp Market BuySep 10, 2020",$17.100.2 shares at $85.50,$17.100.2,$85.50
2045,"Sep 9, 2020","Toyota Market SellSep 9, 2020",$26.240.2 shares at $131.20,$26.240.2,$131.20
2046,"Sep 9, 2020","O'Reilly Auto Parts Market SellSep 9, 2020",$24.000.05 shares at $480.00,$24.000.05,$480.00
2047,"Sep 9, 2020","Unilever Market SellSep 9, 2020",$6.220.1 shares at $62.20,$6.220.1,$62.20
2048,"Sep 9, 2020","Trane Technologies Market SellSep 9, 2020",$23.660.2 shares at $118.30,$23.660.2,$118.30
2049,"Sep 9, 2020","Linde Market SellSep 9, 2020",$25.100.1 shares at $251.00,$25.100.1,$251.00
2050,"Sep 9, 2020","Medtronic Market SellSep 9, 2020",$10.680.1 shares at $106.80,$10.680.1,$106.80
2051,"Sep 9, 2020","Ecolab Market SellSep 9, 2020",$61.120.3 shares at $203.73,$61.120.3,$203.73
2052,"Sep 9, 2020","Ross Market SellSep 9, 2020",$9.380.1 shares at $93.80,$9.380.1,$93.80
2053,"Sep 9, 2020","Procter & Gamble Market SellSep 9, 2020",$27.690.2 shares at $138.45,$27.690.2,$138.45
2054,"Sep 9, 2020","Rakuten Group Market SellSep 9, 2020",$9.651 share at $9.65,$9.65,$9.65
2055,"Sep 9, 2020","Albemarle Market SellSep 9, 2020",$9.600.1 shares at $96.00,$9.600.1,$96.00
2056,"Sep 9, 2020","PPG Market SellSep 9, 2020",$12.470.1 shares at $124.70,$12.470.1,$124.70
2057,"Sep 9, 2020","CSX Market SellSep 9, 2020",$15.420.2 shares at $77.10,$15.420.2,$77.10
2058,"Sep 9, 2020","Xylem Market SellSep 9, 2020",$16.730.2 shares at $83.65,$16.730.2,$83.65
2059,"Sep 9, 2020","Ventas Market SellSep 9, 2020",$8.860.2 shares at $44.30,$8.860.2,$44.30
2060,"Sep 9, 2020","TE Connectivity Market SellSep 9, 2020",$19.730.2 shares at $98.65,$19.730.2,$98.65
2061,"Sep 9, 2020","Canadian Pacific Railway Market SellSep 9, 2020",$29.640.1 shares at $296.40,$29.640.1,$296.40
2062,"Sep 9, 2020","Archer Daniels Midland Market SellSep 9, 2020",$45.791 share at $45.79,$45.79,$45.79
2063,"Sep 9, 2020","Union Pacific Market SellSep 9, 2020",$38.720.2 shares at $193.60,$38.720.2,$193.60
2064,"Sep 9, 2020","Target Market SellSep 9, 2020",$14.720.1 shares at $147.20,$14.720.1,$147.20
2065,"Sep 9, 2020","Texas Instruments Market SellSep 9, 2020",$42.140.3 shares at $140.47,$42.140.3,$140.47
2066,"Sep 9, 2020","LyondellBasell Market SellSep 9, 2020",$43.210.6 shares at $72.02,$43.210.6,$72.02
2067,"Sep 9, 2020","BorgWarner Market SellSep 9, 2020",$12.730.3 shares at $42.43,$12.730.3,$42.43
2068,"Sep 9, 2020","Martin Marietta Market BuySep 9, 2020",$40.390.2 shares at $201.95,$40.390.2,$201.95
2069,"Sep 9, 2020","Cloudflare Market BuySep 9, 2020",$10.150.3 shares at $33.83,$10.150.3,$33.83
2070,"Sep 9, 2020","Cloudera Market BuySep 9, 2020",$11.471 share at $11.47,$11.47,$11.47
2071,"Sep 9, 2020","CRISPR Market BuySep 9, 2020",$25.150.3 shares at $83.83,$25.150.3,$83.83
2072,"Sep 9, 2020","Fastly Market BuySep 9, 2020",$25.080.3 shares at $83.60,$25.080.3,$83.60
2073,"Sep 9, 2020","Medallia Market BuySep 9, 2020",$32.241 share at $32.24,$32.24,$32.24
2074,"Sep 9, 2020","Pluralsight Market BuySep 9, 2020",$17.121 share at $17.12,$17.12,$17.12
2075,"Sep 9, 2020","Dow Market SellSep 9, 2020",$99.062 shares at $49.53,$99.062,$49.53
2076,"Sep 9, 2020","Boston Scientific Market SellSep 9, 2020",$41.721 share at $41.72,$41.72,$41.72
2077,"Sep 9, 2020","Deutsche Telekom Market SellSep 9, 2020",$54.723 shares at $18.24,$54.723,$18.24
2078,"Sep 8, 2020","Hilton Worldwide Market SellSep 8, 2020",$9.250.1 shares at $92.50,$9.250.1,$92.50
2079,"Sep 8, 2020","Motorola Solutions Market SellSep 8, 2020",$15.390.1 shares at $153.90,$15.390.1,$153.90
2080,"Sep 8, 2020","Republic Services Market SellSep 8, 2020",$18.710.2 shares at $93.55,$18.710.2,$93.55
2081,"Sep 8, 2020","3M Market SellSep 8, 2020",$98.500.6 shares at $164.17,$98.500.6,$164.17
2082,"Sep 8, 2020","Deere Market SellSep 8, 2020",$21.130.1 shares at $211.30,$21.130.1,$211.30
2083,"Sep 8, 2020","Caterpillar Market SellSep 8, 2020",$29.980.2 shares at $149.90,$29.980.2,$149.90
2084,"Sep 8, 2020","Microsoft Market BuySep 8, 2020",$102.770.5 shares at $205.54,$102.770.5,$205.54
2085,"Sep 8, 2020","JetBlue Airways Market SellSep 8, 2020",$62.605 shares at $12.52,$62.605,$12.52
2086,"Sep 8, 2020","Southwest Airlines Market SellSep 8, 2020",$81.062 shares at $40.53,$81.062,$40.53
2087,"Sep 8, 2020","Delta Air Lines Market SellSep 8, 2020",$97.903 shares at $32.63,$97.903,$32.63
2088,"Sep 8, 2020","Tencent Market BuySep 8, 2020",$16.270.25 shares at $65.08,$16.270.25,$65.08
2089,"Sep 8, 2020","Alphabet Class A Market BuySep 8, 2020","$199.040.13 shares at $1,531.08",$199.040.13,"$1,531.08"
2090,"Sep 8, 2020","Xerox Market SellSep 8, 2020",$9.420.5 shares at $18.84,$9.420.5,$18.84
2091,"Sep 8, 2020","JetBlue Airways Market SellSep 8, 2020",$62.855 shares at $12.57,$62.855,$12.57
2092,"Sep 8, 2020","Delta Air Lines Market SellSep 8, 2020",$65.642 shares at $32.82,$65.642,$32.82
2093,"Sep 8, 2020","Southwest Airlines Market SellSep 8, 2020",$81.342 shares at $40.67,$81.342,$40.67
2094,"Sep 8, 2020","Health Care Select Sector SPDR Fund Market BuySep 8, 2020",$10.400.1 shares at $104.00,$10.400.1,$104.00
2095,"Sep 8, 2020","Alphabet Class A Market BuySep 8, 2020","$76.670.05 shares at $1,533.40",$76.670.05,"$1,533.40"
2096,"Sep 8, 2020","Disney Market SellSep 8, 2020",$13.500.1 shares at $135.00,$13.500.1,$135.00
2097,"Sep 8, 2020","HP Market SellSep 8, 2020",$38.582 shares at $19.29,$38.582,$19.29
2098,"Sep 8, 2020","Alphabet Class C Market BuySep 8, 2020","$155.090.1 shares at $1,550.90",$155.090.1,"$1,550.90"
2099,"Sep 8, 2020","Deposit from Checking (non-interest)Sep 8, 2020",$150.00,,
2100,"Sep 8, 2020","SP Funds S&P 500 Sharia Market BuySep 8, 2020",$45.742 shares at $22.87,$45.742,$22.87
2101,"Sep 8, 2020","Health Care Select Sector SPDR Fund Market BuySep 8, 2020",$103.921 share at $103.92,$103.92,$103.92
2102,"Sep 8, 2020","Dupont De Nemours Market BuySep 8, 2020",$45.430.8 shares at $56.79,$45.430.8,$56.79
2103,"Sep 8, 2020","Porsche Market SellSep 8, 2020",$12.782 shares at $6.39,$12.782,$6.39
2104,"Sep 8, 2020","Health Care Select Sector SPDR Fund Market BuySep 8, 2020",$104.561 share at $104.56,$104.56,$104.56
2105,"Sep 8, 2020","Listed Funds Trust Wahed FTSE USA Shariah Market BuySep 8, 2020",$29.801 share at $29.80,$29.80,$29.80
2106,"Sep 8, 2020","SP Funds S&P 500 Sharia Market BuySep 8, 2020",$45.892 shares at $22.95,$45.892,$22.95
2107,"Sep 8, 2020","A.P. Moller - Maersk Market SellSep 8, 2020",$15.482 shares at $7.74,$15.482,$7.74
2108,"Sep 8, 2020","Delta Air Lines Market SellSep 8, 2020",$32.321 share at $32.32,$32.32,$32.32
2109,"Sep 8, 2020","JetBlue Airways Market SellSep 8, 2020",$37.453 shares at $12.48,$37.453,$12.48
2110,"Sep 8, 2020","Microsoft Market BuySep 8, 2020",$41.230.2 shares at $206.15,$41.230.2,$206.15
2111,"Sep 8, 2020","Alibaba Market BuySep 8, 2020",$26.710.1 shares at $267.10,$26.710.1,$267.10
2112,"Sep 8, 2020","JD.com Market BuySep 8, 2020",$18.880.25 shares at $75.52,$18.880.25,$75.52
2113,"Sep 8, 2020","Tencent Market BuySep 8, 2020",$16.110.25 shares at $64.44,$16.110.25,$64.44
2114,"Sep 8, 2020","Health Care Select Sector SPDR Fund Market BuySep 8, 2020",$104.641 share at $104.64,$104.64,$104.64
2115,"Sep 8, 2020","Deposit from Checking (non-interest)Sep 8, 2020",$500.00,,
2116,"Sep 4, 2020","Health Care Select Sector SPDR Fund Market BuySep 4, 2020",$52.650.5 shares at $105.30,$52.650.5,$105.30
2117,"Sep 4, 2020","UnitedHealth Market BuySep 4, 2020",$30.900.1 shares at $309.00,$30.900.1,$309.00
2118,"Sep 4, 2020","Baidu Market BuySep 4, 2020",$30.140.25 shares at $120.56,$30.140.25,$120.56
2119,"Sep 4, 2020","Tencent Market BuySep 4, 2020",$16.580.25 shares at $66.32,$16.580.25,$66.32
2120,"Sep 4, 2020","Taiwan Semiconductor Manufacturing Market BuySep 4, 2020",$7.850.1 shares at $78.50,$7.850.1,$78.50
2121,"Sep 4, 2020","Stmicroelectronics Market BuySep 4, 2020",$14.010.5 shares at $28.02,$14.010.5,$28.02
2122,"Sep 4, 2020","Health Care Select Sector SPDR Fund Market BuySep 4, 2020",$52.400.5 shares at $104.80,$52.400.5,$104.80
2123,"Sep 4, 2020","Johnson & Johnson Market BuySep 4, 2020",$44.330.3 shares at $147.77,$44.330.3,$147.77
2124,"Sep 4, 2020","Microsoft Market BuySep 4, 2020",$62.510.3 shares at $208.37,$62.510.3,$208.37
2125,"Sep 4, 2020","Alibaba Market BuySep 4, 2020",$54.480.2 shares at $272.40,$54.480.2,$272.40
2126,"Sep 4, 2020","Alphabet Class C Market BuySep 4, 2020","$111.100.07 shares at $1,587.14",$111.100.07,"$1,587.14"
2127,"Sep 4, 2020","Deposit from Checking (non-interest)Sep 4, 2020",$500.00,,
2128,"Sep 3, 2020","Alphabet Class C Market BuySep 3, 2020","$129.980.08 shares at $1,624.75",$129.980.08,"$1,624.75"
2129,"Sep 3, 2020","Microsoft Market BuySep 3, 2020",$64.700.3 shares at $215.67,$64.700.3,$215.67
2130,"Sep 3, 2020","Deposit from Checking (non-interest)Sep 3, 2020",$200.00,,
2131,"Sep 3, 2020","Microsoft Market BuySep 3, 2020",$21.830.1 shares at $218.30,$21.830.1,$218.30
2132,"Sep 3, 2020","Alphabet Class C Market BuySep 3, 2020","$82.000.05 shares at $1,640.00",$82.000.05,"$1,640.00"
2133,"Sep 3, 2020","Health Care Select Sector SPDR Fund Market BuySep 3, 2020",$106.401 share at $106.40,$106.40,$106.40
2134,"Sep 3, 2020","Alibaba Market BuySep 3, 2020",$55.950.2 shares at $279.75,$55.950.2,$279.75
2135,"Sep 3, 2020","Deposit from Checking (non-interest)Sep 3, 2020",$250.00,,
2136,"Sep 3, 2020","Alphabet Class C Market BuySep 3, 2020","$164.320.1 shares at $1,643.20",$164.320.1,"$1,643.20"
2137,"Sep 3, 2020","Stanley Black & Decker Market BuySep 3, 2020",$32.190.2 shares at $160.95,$32.190.2,$160.95
2138,"Sep 3, 2020","Health Care Select Sector SPDR Fund Market BuySep 3, 2020",$58.740.55 shares at $106.80,$58.740.55,$106.80
2139,"Sep 3, 2020","Deposit from Checking (non-interest)Sep 3, 2020",$250.00,,
2140,"Sep 3, 2020","Alibaba Market BuySep 3, 2020",$56.260.2 shares at $281.30,$56.260.2,$281.30
2141,"Sep 3, 2020","JD.com Market BuySep 3, 2020",$19.460.25 shares at $77.84,$19.460.25,$77.84
2142,"Sep 3, 2020","Tencent Market BuySep 3, 2020",$16.810.25 shares at $67.24,$16.810.25,$67.24
2143,"Sep 3, 2020","Coca-Cola Europacific Partners Market SellSep 3, 2020",$4.420.1 shares at $44.20,$4.420.1,$44.20
2144,"Sep 3, 2020","Deutsche Lufthansa Market SellSep 3, 2020",$31.323 shares at $10.44,$31.323,$10.44
2145,"Sep 3, 2020","Alphabet Class A Market BuySep 3, 2020","$82.310.05 shares at $1,646.20",$82.310.05,"$1,646.20"
2146,"Sep 3, 2020","Health Care Select Sector SPDR Fund Market BuySep 3, 2020",$53.640.5 shares at $107.28,$53.640.5,$107.28
2147,"Sep 3, 2020","Listed Funds Trust Wahed FTSE USA Shariah Market BuySep 3, 2020",$61.582 shares at $30.79,$61.582,$30.79
2148,"Sep 3, 2020","SP Funds S&P 500 Sharia Market BuySep 3, 2020",$47.592 shares at $23.80,$47.592,$23.80
2149,"Sep 3, 2020","VF Market SellSep 3, 2020",$34.650.5 shares at $69.30,$34.650.5,$69.30
2150,"Sep 3, 2020","JetBlue Airways Market SellSep 3, 2020",$24.642 shares at $12.32,$24.642,$12.32
2151,"Sep 3, 2020","Delta Air Lines Market SellSep 3, 2020",$32.271 share at $32.27,$32.27,$32.27
2152,"Sep 3, 2020","Nike Market SellSep 3, 2020",$23.360.2 shares at $116.80,$23.360.2,$116.80
2153,"Sep 2, 2020","Bayer Market SellSep 2, 2020",$16.691 share at $16.69,$16.69,$16.69
2154,"Sep 2, 2020","VF Market SellSep 2, 2020",$34.160.5 shares at $68.32,$34.160.5,$68.32
2155,"Sep 2, 2020","Lumen Technologies Market SellSep 2, 2020",$10.861 share at $10.86,$10.86,$10.86
2156,"Sep 2, 2020","Delta Air Lines Market SellSep 2, 2020",$30.781 share at $30.78,$30.78,$30.78
2157,"Sep 2, 2020","Southwest Airlines Market SellSep 2, 2020",$38.631 share at $38.63,$38.63,$38.63
2158,"Sep 2, 2020","HP Market SellSep 2, 2020",$19.781 share at $19.78,$19.78,$19.78
2159,"Sep 2, 2020","Deutsche Telekom Market SellSep 2, 2020",$54.363 shares at $18.12,$54.363,$18.12
2160,"Sep 1, 2020","Health Care Select Sector SPDR Fund Market BuySep 1, 2020",$16.000.15 shares at $106.67,$16.000.15,$106.67
2161,"Sep 1, 2020","Microsoft Market BuySep 1, 2020",$67.760.3 shares at $225.87,$67.760.3,$225.87
2162,"Sep 1, 2020","Johnson & Johnson Market BuySep 1, 2020",$90.790.6 shares at $151.32,$90.790.6,$151.32
2163,"Sep 1, 2020","SP Funds S&P 500 Sharia Market BuySep 1, 2020",$48.482 shares at $24.24,$48.482,$24.24
2164,"Sep 1, 2020","Dupont De Nemours Market BuySep 1, 2020",$11.240.2 shares at $56.20,$11.240.2,$56.20
2165,"Sep 1, 2020","Utilities Select Sector SPDR Fund Market BuySep 1, 2020",$58.431 share at $58.43,$58.43,$58.43
2166,"Sep 1, 2020","Dana Market SellSep 1, 2020",$42.033 shares at $14.01,$42.033,$14.01
2167,"Sep 1, 2020","Deposit from Checking (non-interest)Sep 1, 2020",$250.00,,
2168,"Sep 1, 2020","Health Care Select Sector SPDR Fund Market BuySep 1, 2020",$21.440.2 shares at $107.20,$21.440.2,$107.20
2169,"Sep 1, 2020","Health Care Select Sector SPDR Fund Market BuySep 1, 2020",$107.811 share at $107.81,$107.81,$107.81
2170,"Sep 1, 2020","CDW Market BuySep 1, 2020",$22.070.2 shares at $110.35,$22.070.2,$110.35
2171,"Sep 1, 2020","Utilities Select Sector SPDR Fund Market BuySep 1, 2020",$41.230.7 shares at $58.90,$41.230.7,$58.90
2172,"Sep 1, 2020","Health Care Select Sector SPDR Fund Market BuySep 1, 2020",$53.950.5 shares at $107.90,$53.950.5,$107.90
2173,"Sep 1, 2020","Deposit from Checking (non-interest)Sep 1, 2020",$250.00,,
2174,"Sep 1, 2020","Martin Marietta Market BuySep 1, 2020",$24.210.12 shares at $201.75,$24.210.12,$201.75
2175,"Aug 31, 2020","Health Care Select Sector SPDR Fund Market BuyAug 31, 2020",$108.521 share at $108.52,$108.52,$108.52
2176,"Aug 31, 2020","Mazda Market BuyAug 31, 2020",$31.4010 shares at $3.14,$31.4010,$3.14
2177,"Aug 31, 2020","Purple Innovation Market BuyAug 31, 2020",$11.480.6 shares at $19.13,$11.480.6,$19.13
2178,"Aug 31, 2020","Martin Marietta Market BuyAug 31, 2020",$40.690.2 shares at $203.45,$40.690.2,$203.45
2179,"Aug 31, 2020","HP Market SellAug 31, 2020",$20.091 share at $20.09,$20.09,$20.09
2180,"Aug 31, 2020","Cinemark Market SellAug 31, 2020",$30.142 shares at $15.07,$30.142,$15.07
2181,"Aug 31, 2020","Martin Marietta Market BuyAug 31, 2020",$20.550.1 shares at $205.50,$20.550.1,$205.50
2182,"Aug 31, 2020","Health Care Select Sector SPDR Fund Market BuyAug 31, 2020",$10.780.1 shares at $107.80,$10.780.1,$107.80
2183,"Aug 28, 2020","Alaska Air Market SellAug 28, 2020",$4.060.1 shares at $40.60,$4.060.1,$40.60
2184,"Aug 28, 2020","American Airlines Market SellAug 28, 2020",$13.561 share at $13.56,$13.56,$13.56
2185,"Aug 28, 2020","Purple Innovation Market BuyAug 28, 2020",$9.560.5 shares at $19.12,$9.560.5,$19.12
2186,"Aug 28, 2020","Tata Motors Market SellAug 28, 2020",$6.900.7 shares at $9.86,$6.900.7,$9.86
2187,"Aug 28, 2020","Carnival Market SellAug 28, 2020",$51.383 shares at $17.13,$51.383,$17.13
2188,"Aug 28, 2020","Listed Funds Trust Wahed FTSE USA Shariah Market SellAug 28, 2020",$15.570.5 shares at $31.14,$15.570.5,$31.14
2189,"Aug 28, 2020","Martin Marietta Market BuyAug 28, 2020",$41.180.2 shares at $205.90,$41.180.2,$205.90
2190,"Aug 28, 2020","Purple Innovation Market BuyAug 28, 2020",$9.740.5 shares at $19.48,$9.740.5,$19.48
2191,"Aug 27, 2020","Burberry Market SellAug 27, 2020",$19.091 share at $19.09,$19.09,$19.09
2192,"Aug 27, 2020","Quest Diagnostics Market BuyAug 27, 2020",$10.930.1 shares at $109.30,$10.930.1,$109.30
